filename,multisport,session_index,date,start_time,sport,sub_sport,total_elapsed_time,total_timer_time,total_distance,avg_heart_rate,max_heart_rate,avg_speed,avg_pace,total_calories,total_ascent,avg_cadence,training_load,aerobic_training_effect,anaerobic_training_effect,normalized_power,avg_power,pool_length,total_strokes
2026-03-27-10-23-44.fit,否,,2026-03-27,10:23,骑行,commuting,10.7,10.7,2.32,116,148,,,92,12,,,1.0,0.7,,,,
2026-03-27-16-37-55.fit,否,,2026-03-27,16:37,训练,62,163.3,5.6,,97,104,,,,,,,0.2,,,,,
2026-03-27-19-43-11.fit,否,,2026-03-27,19:43,游泳,lap_swimming,38.1,37.7,900.0,129,159,,0:02,533,,15,,2.9,1.3,,,25.0,
2026-03-28-11-07-28.fit,是,1,2026-03-28,11:07,骑行,,47.4,47.4,20.15,141,163,,,564,51,87,,3.3,0.6,,,,
2026-03-28-11-07-28.fit,是,2,2026-03-28,11:54,换项,,0.8,0.8,0.02,140,147,,,8,,48,,3.4,0.6,,,,
2026-03-28-11-07-28.fit,是,3,2026-03-28,11:55,跑步,,36.0,36.0,5.01,153,164,,7:11,393,13,,,3.8,1.5,278,274,,
2026-04-02_ride.fit,否,,2026-04-02,07:41,骑行,,86.9,82.6,34.19,137,158,,,878,96,84,,3.5,0.6,,,,
2026-04-03_swim_750m.fit,否,,2026-04-03,07:24,游泳,lap_swimming,39.6,39.5,1025.0,136,162,,0:02,483,,17,,3.0,0.7,,,25.0,
2026-04-04_砖式.fit,是,1,2026-04-04,09:05,骑行,,48.3,48.3,20.0,143,155,,,586,42,88,,3.4,0.2,,,,
2026-04-04_砖式.fit,是,2,2026-04-04,09:53,换项,,0.6,0.6,0.01,152,154,,,7,,,,3.4,0.2,,,,
2026-04-04_砖式.fit,是,3,2026-04-04,09:54,跑步,,33.7,33.7,5.01,159,175,,6:43,410,6,,,4.2,0.8,295,289,,
2026-04-07_ride.fit,否,,2026-04-07,07:28,骑行,,87.5,82.9,34.25,137,159,,,876,132,82,,3.4,1.0,,,,
2026-04-08_run.fit,否,,2026-04-08,08:13,跑步,,50.5,50.5,7.4,151,172,,6:49,594,22,,,3.7,,302,295,,
2026-04-09_swim.fit,否,,2026-04-09,07:19,游泳,lap_swimming,51.7,44.1,1275.0,131,155,,0:02,513,,16,,2.6,1.4,,,25.0,
2026-04-10_run.fit,否,,2026-04-10,12:17,跑步,,69.4,69.1,6.44,128,148,,10:43,462,9,,,2.0,,191,174,,
2026-04-11_ride.fit,否,,2026-04-11,08:54,骑行,,103.4,98.7,42.05,145,164,,,1160,151,87,,4.2,2.1,,,,
2026-04-13_run.fit,否,,2026-04-13,07:08,跑步,,49.0,49.0,5.56,133,153,,8:48,421,19,,,2.2,,232,219,,
2026-04-15_run.fit,否,,2026-04-15,11:17,跑步,,60.2,58.7,6.00,137,152,,9:46,455,24,144,,2.1,0.0,210,193,,
2026-04-14_swim.fit,否,,2026-04-14,07:40,游泳,,48.1,47.8,750,117,168,,,358,,16,,2.0,0.7,,,,25,279
